age,churn,contract,country,customer_id,dependents,deviceprotection,discount_offered,gender,internetservice,last_activity,monthlycharges,multiplelines,onlinebackup,onlinesecurity,paperlessbilling,partner,paymentmethod,phoneservice,product_category,purchase_amount,region,satisfaction_score,seniorcitizen,streamingmovies,streamingtv,support_tickets_raised,techsupport,tenure,totalcharges,transaction_date,transaction_id,user_name
,No,Month-to-month,,TEL_7590-VHVEG,No,No,,Female,DSL,,29.85,No phone service,Yes,No,Yes,Yes,Electronic check,No,,,,,0,No,No,,No,1.0,29.85,,,
,No,One year,,TEL_5575-GNVDE,No,Yes,,Male,DSL,,56.95,No,No,Yes,No,No,Mailed check,Yes,,,,,0,No,No,,No,34.0,1889.5,,,
,Yes,Month-to-month,,TEL_3668-QPYBK,No,No,,Male,DSL,,53.85,No,Yes,Yes,Yes,No,Mailed check,Yes,,,,,0,No,No,,No,2.0,108.15,,,
,No,One year,,TEL_7795-CFOCW,No,Yes,,Male,DSL,,42.3,No phone service,No,Yes,No,No,Bank transfer (automatic),No,,,,,0,No,No,,Yes,45.0,1840.75,,,
,Yes,Month-to-month,,TEL_9237-HQITU,No,No,,Female,Fiber optic,,70.7,No,No,No,Yes,No,Electronic check,Yes,,,,,0,No,No,,No,2.0,151.65,,,
,Yes,Month-to-month,,TEL_9305-CDSKC,No,Yes,,Female,Fiber optic,,99.65,Yes,No,No,Yes,No,Electronic check,Yes,,,,,0,Yes,Yes,,No,8.0,820.5,,,
,No,Month-to-month,,TEL_1452-KIOVK,Yes,No,,Male,Fiber optic,,89.1,Yes,Yes,No,Yes,No,Credit card (automatic),Yes,,,,,0,No,Yes,,No,22.0,1949.4,,,
,No,Month-to-month,,TEL_6713-OKOMC,No,No,,Female,DSL,,29.75,No phone service,No,Yes,No,No,Mailed check,No,,,,,0,No,No,,No,10.0,301.9,,,
,Yes,Month-to-month,,TEL_7892-POOKP,No,Yes,,Female,Fiber optic,,104.8,Yes,No,No,Yes,Yes,Electronic check,Yes,,,,,0,Yes,Yes,,Yes,28.0,3046.05,,,
,No,One year,,TEL_6388-TABGU,Yes,No,,Male,DSL,,56.15,No,Yes,Yes,No,No,Bank transfer (automatic),Yes,,,,,0,No,No,,No,62.0,3487.95,,,
,No,Month-to-month,,TEL_9763-GRSKD,Yes,No,,Male,DSL,,49.95,No,No,Yes,Yes,Yes,Mailed check,Yes,,,,,0,No,No,,No,13.0,587.45,,,
,No,Two year,,TEL_7469-LKBCI,No,No internet service,,Male,No,,18.95,No,No internet service,No internet service,No,No,Credit card (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,16.0,326.8,,,
,No,One year,,TEL_8091-TTVAX,No,Yes,,Male,Fiber optic,,100.35,Yes,No,No,No,Yes,Credit card (automatic),Yes,,,,,0,Yes,Yes,,No,58.0,5681.1,,,
,Yes,Month-to-month,,TEL_0280-XJGEX,No,Yes,,Male,Fiber optic,,103.7,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,No,49.0,5036.3,,,
,No,Month-to-month,,TEL_5129-JLPIS,No,Yes,,Male,Fiber optic,,105.5,No,No,Yes,Yes,No,Electronic check,Yes,,,,,0,Yes,Yes,,Yes,25.0,2686.05,,,
,No,Two year,,TEL_3655-SNQYZ,Yes,Yes,,Female,Fiber optic,,113.25,Yes,Yes,Yes,No,Yes,Credit card (automatic),Yes,,,,,0,Yes,Yes,,Yes,69.0,7895.15,,,
,No,One year,,TEL_8191-XWSZG,No,No internet service,,Female,No,,20.65,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,52.0,1022.95,,,
,No,Two year,,TEL_9959-WOFKT,Yes,Yes,,Male,Fiber optic,,106.7,Yes,No,Yes,No,No,Bank transfer (automatic),Yes,,,,,0,Yes,Yes,,No,71.0,7382.25,,,
,Yes,Month-to-month,,TEL_4190-MFLUW,Yes,Yes,,Female,DSL,,55.2,No,No,No,No,Yes,Credit card (automatic),Yes,,,,,0,No,No,,Yes,10.0,528.35,,,
,No,Month-to-month,,TEL_4183-MYFRB,No,Yes,,Female,Fiber optic,,90.05,No,Yes,No,Yes,No,Electronic check,Yes,,,,,0,Yes,No,,No,21.0,1862.9,,,
,Yes,Month-to-month,,TEL_8779-QRDMV,No,Yes,,Male,DSL,,39.65,No phone service,No,No,Yes,No,Electronic check,No,,,,,1,Yes,No,,No,1.0,39.65,,,
,No,One year,,TEL_1680-VDCWW,No,No internet service,,Male,No,,19.8,No,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,,,,,0,No internet service,No internet service,,No internet service,12.0,202.25,,,
,Yes,Month-to-month,,TEL_1066-JKSGK,No,No internet service,,Male,No,,20.15,No,No internet service,No internet service,No,No,Mailed check,Yes,,,,,0,No internet service,No internet service,,No internet service,1.0,20.15,,,
,No,Two year,,TEL_3638-WEABW,No,No,,Female,DSL,,59.9,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,,,,,0,No,No,,Yes,58.0,3505.1,,,
